Restaurant Name,Location,Contact,Menu,Cuisine,Price,"Ratings(Dining, Delivery)",Operating Hours,More Info
Kuduk Chicken,"Uday Plaza, Avon Market, Kakadeo Near Sbj Digital Network, North Kanpur 208025",,"[{'item': 'Lcolddrink (500 Ml)', 'price': '₹10'}, {'item': 'Ary. 10', 'price': '₹10'}, {'item': 'Riendly Meals 4 3 Bic Crispy Chicken -', 'price': '₹9297'}, {'item': 'Comeo S49 2', 'price': '₹816'}, {'item': 'Wings Chicken Burger', 'price': '₹120'}, {'item': '199 Apo', 'price': '₹79'}, {'item': 'Lollipop Chicken Burger 120 Ro 199 (8 Pc)', 'price': '₹89'}, {'item': 'Y Burger 79 020 C2 Wincs 2 Lonipop)', 'price': '₹099'}, {'item': 'Rips Veg Burger 130 Seo', 'price': '₹199'}, {'item': 'Chicken Veg Burger', 'price': '₹149'}, {'item': 'Y Burger', 'price': '₹89'}, {'item': 'Ries 49 Sme', 'price': '₹79'}, {'item': '9 Sinces)', 'price': '₹89'}, {'item': 'Ries 49 Sme', 'price': '₹79'}, {'item': 'Ries 9 Scree) 89 Woune Kuduk Special Biryani Kuduk Chicken Lollipop Birvani 99 Kuduk Chicken Popcorn Biryani', 'price': '₹99'}, {'item': 'Vecwrap', 'price': '₹69'}]",Fast Food,₹800 for two,4.6 • 407 in Google •,"CLOSED, OPENS AT 1PM","Reservation available, SwiggyPay accepted"
Liquid,"118/54-55, Ratan Zone, Kaushalpuri, Darshan Purwa, Kidwai Nagar South Kanpur 208012",,[],"Asian, North Indian",₹1200 for two,4 • 1K+ in Google •,"CLOSED, OPENS AT 11AM","Reservation available, SwiggyPay accepted"
Lush Bar And Cafe,"Gt Road, Near Vastra Bhawan, Near Gurudev Palace, Sharda Nagar, Jajmau Sub Metro City Near Union Bank Of India Atm East Kanpur 208014",,[],"Chinese, North Indian",₹1200 for two,4.4 • 95 in Google •,"CLOSED, OPENS AT 12PM","Alcohol served, Reservation available, Parking available, Valet parking, Free wifi, SwiggyPay accepted"
Lush Garden & Cafe,"Musical Fountain, Kanpur Cantonment, Harsh Nagar Near Nagar Nigam North Kanpur 208001",,"[{'item': 'Lers', 'price': '₹40'}, {'item': 'Y & Rice)', 'price': '₹41'}, {'item': 'Special Gravy)', 'price': '₹42'}, {'item': 'H Wok', 'price': '₹43'}, {'item': 'H Honey)', 'price': '₹44'}, {'item': 'Ossed & Served)', 'price': '₹45'}, {'item': 'Able Dumplings In Schezwan Chilly Sauce)', 'price': '₹46'}, {'item': 'And Pepper)', 'price': '₹47'}, {'item': 'Wan Chilly Paneer', 'price': '₹49'}, {'item': 'Ables.)', 'price': '₹50'}, {'item': 'H Sesame Seeds)', 'price': '₹51'}, {'item': 'H Chilly & Onions ) E425', 'price': '₹465'}, {'item': '485 S20 Eo Ils)', 'price': '₹325'}, {'item': '2325 329 S360) 385 Coo)S Esos', 'price': '₹425'}, {'item': ""'Social Meals"", 'price': '₹61'}, {'item': 'Y Sauce)', 'price': '₹62'}, {'item': 'H Various Indian Spices)', 'price': '₹63'}, {'item': 'H Various Spices)', 'price': '₹64'}, {'item': 'H Indian Spices)', 'price': '₹65'}, {'item': 'Onion & Indian Spices)', 'price': '₹76'}, {'item': 'Er & Indian Spices)', 'price': '₹67'}, {'item': 'H Onion And Spices)', 'price': '₹68'}, {'item': 'H Green Peas And Indian Spices)', 'price': '₹69'}, {'item': 'Ul Spices)', 'price': '₹70'}, {'item': 'Sauce)', 'price': '₹71'}, {'item': 'Resh Veggies And Indian Spices)', 'price': '₹72'}, {'item': 'A (Paneer Balls Cooked In Rich Brown Gravy)', 'price': '₹285'}, {'item': '22.95 Oe Soil Goes', 'price': '₹345'}, {'item': '345', 'price': '₹345'}, {'item': '7359', 'price': '₹3090'}, {'item': '365', 'price': '₹395'}, {'item': 'H Nq Garlic & Onion', 'price': '₹92'}, {'item': 'Lavour )', 'price': '₹93'}, {'item': 'H Basic Spices)', 'price': '₹94'}, {'item': 'Species)', 'price': '₹95'}, {'item': 'Indian Spices)', 'price': '₹96'}, {'item': 'Er Gravy & Indian Spices)', 'price': '₹285'}, {'item': '295', 'price': '₹3995'}, {'item': 'Airs', 'price': '₹27'}, {'item': 'Ly Spiced Charcoal Grilled Soya Chunks)', 'price': '₹28'}, {'item': 'Andoor )', 'price': '₹29'}, {'item': 'Indian Spices & Grilled)', 'price': '₹30'}, {'item': 'Cashew & Cream)', 'price': '₹31'}, {'item': 'Er)', 'price': '₹32'}, {'item': 'Curd And Cashews)', 'price': '₹33'}, {'item': 'Anardana)', 'price': '₹34'}, {'item': 'Ional Spices)', 'price': '₹35'}, {'item': 'Gani Cream)', 'price': '₹36'}, {'item': 'Andoor)', 'price': '₹37'}, {'item': 'Black Pepper)', 'price': '₹38'}, {'item': 'Ion )', 'price': '₹39'}, {'item': 'Ic Spices) Wael', 'price': '₹345'}, {'item': 'Isd 365 365', 'price': '₹365'}, {'item': '305', 'price': '₹315'}, {'item': '525', 'price': '₹399'}, {'item': '415', 'price': '₹415'}, {'item': 'Aples', 'price': '₹97'}, {'item': 'Eamed Rice Css 98.Jeera Rice Es', 'price': '₹99'}, {'item': 'Ar Pulao 185', 'price': '₹100'}, {'item': 'On) Breads', 'price': '₹101'}, {'item': '3 97 15', 'price': '₹102'}, {'item': 'Er )', 'price': '₹745'}, {'item': 'Garlic)', 'price': '₹55'}, {'item': '1715 104.Kulcha S6)5', 'price': '₹105'}, {'item': 'Ha 200 106.Missi', 'price': '₹65'}, {'item': '125', 'price': '₹108'}, {'item': 'Chicken)', 'price': '₹54'}, {'item': 'Chicken)', 'price': '₹57'}, {'item': 'Lavored Sauce)', 'price': '₹58'}, {'item': 'H Chinese Gravy)', 'price': '₹59'}, {'item': 'Ul Chilly Paneer Gravy)', 'price': '₹60'}, {'item': '295 Sova) 365', 'price': '₹2595'}, {'item': ""'Lushberry Beverages"", 'price': '₹09'}, {'item': 'Er (250Ml)', 'price': '₹10'}, {'item': 'Ed Beverages 112.Masala Coldrink 113.Red Bull', 'price': '₹14'}, {'item': 'Ee Espresso', 'price': '₹115'}, {'item': 'Ee Cappuccino', 'price': '₹116'}, {'item': 'Ails', 'price': '₹118'}, {'item': 'Resh Lime Soda', 'price': '₹119'}, {'item': 'O 121.Green Apple Soda', 'price': '₹1227'}, {'item': 'B Iu E', 'price': '₹12'}, {'item': '16 760 2715 105 195', 'price': '₹90'}, {'item': '145', 'price': '₹145'}, {'item': '135', 'price': '₹165'}, {'item': '175 175 175', 'price': '₹175'}, {'item': '15.Cheesy Garlic Bread', 'price': '₹2189'}, {'item': 'H Cheddar And Baked)', 'price': '₹18'}, {'item': 'A 355 (Plain Cheese Pizza)', 'price': '₹20'}, {'item': 'H Cheese)', 'price': '₹21'}, {'item': 'Ikka Onion & Cheese)', 'price': '₹22'}, {'item': 'Oppings)', 'price': '₹23'}, {'item': 'Onion And Cheese)', 'price': '₹24'}, {'item': 'Ikka Onion & Cheese)', 'price': '₹25'}, {'item': 'Ikka Peri Peri Onion & Cheese)', 'price': '₹26'}, {'item': 'Hi And Cream)', 'price': '₹79'}, {'item': 'O Gravy And Indian Spices)', 'price': '₹80'}, {'item': 'O Onion Gravy)', 'price': '₹81'}, {'item': 'Ikka Masala Gravy)', 'price': '₹82'}, {'item': 'O & Onion)', 'price': '₹84'}, {'item': 'Er And Cream Gravy)', 'price': '₹85'}, {'item': 'H Indian Spices)', 'price': '₹86'}, {'item': 'Chicken)', 'price': '₹87'}, {'item': 'H Onion And Capsicum)', 'price': '₹88'}, {'item': 'Dry Spices)', 'price': '₹89'}, {'item': 'Kashmir)', 'price': '₹90'}, {'item': 'Ic Spices)', 'price': '₹91'}, {'item': ""2 G)8)'5) Ai) 5) 80) 5) 5)8) 5)"", 'price': '₹465'}, {'item': '465', 'price': '₹465'}, {'item': '465', 'price': '₹495'}, {'item': '495', 'price': '₹495'}, {'item': 'O & Basil Soup 10.Lemon Coriander Soup', 'price': '₹11'}, {'item': 'Non-Veg)', 'price': '₹12'}, {'item': 'Non-Veg)', 'price': '₹13'}, {'item': '225', 'price': '₹2345'}, {'item': '385 7415', 'price': '₹455'}, {'item': '465 7495', 'price': '₹169'}, {'item': '189', 'price': '₹169'}, {'item': '189', 'price': '₹2169'}]","Chinese, North Indian",₹700 for two,4.3 • 1K+ in Google •,OPEN TILL 11:59PM,"Reservation available, Parking available, Free wifi, SwiggyPay accepted"
Lush Garden & Cafe,"Musical Fountain, Near Nagar Nigam, Harsh Nagar, Kanpur",918009775533.0,,"North Indian, Asian, Chinese, Pizza, Fast Food, Desserts, Beverages","₹1,500 for two","3.9, -",12noon – 12:30am (Today),"Takeaway Available, Table booking recommended, Work Friendly, Nightlife, Resto Bar, Wifi, Outdoor Seating, Family Friendly, Indoor Seating"
Magnum Cafe & Restro,117/84 N Block Kakadeo Near Pandu Nagar Police Chowki Infront Of Bhadauriya Petrol Pump Kakadeo-22 Kanpur Nagar,,"[{'item': '- Oreo Milkshake 139)- Oreo Vanilla Milkshake', 'price': '₹159'}, {'item': 'E Milkshakes 159)- Vanilla Milkshake', 'price': '₹139'}, {'item': 'Milkshake', 'price': '₹149'}, {'item': 'Errero Rocher Milkshakes', 'price': '₹199'}, {'item': 'E Milkshake', 'price': '₹199'}, {'item': 'Ch Milkshake', 'price': '₹149'}, {'item': '- Mango Shake', 'price': '₹139'}, {'item': '- Banana Shake', 'price': '₹139'}, {'item': 'Rawherry Milkshake', 'price': '₹139'}, {'item': '- Devils Own', 'price': '₹149'}, {'item': 'Rappe', 'price': '₹139'}, {'item': 'Rappe', 'price': '₹139'}, {'item': 'Rappuccino', 'price': '₹179'}, {'item': 'Rappuccino', 'price': '₹189'}, {'item': '- Moch Chillo', 'price': '₹139'}, {'item': 'Corn', 'price': '₹89'}, {'item': '& Sour', 'price': '₹89'}, {'item': '- Manchow', 'price': '₹89'}, {'item': '- C Corn Coriender', 'price': '₹89'}, {'item': '- Veg Manchurian Dry Veg Manchurian Gravy Paneer Manchurian Dry Paneer Manchurian Gravy Chilli Paneer Dry Chilli Paneer Gravy', 'price': '₹109'}, {'item': '- 139)-', 'price': '₹139'}, {'item': '- 159)-', 'price': '₹129'}, {'item': '- 159)', 'price': '₹139'}, {'item': '- 189)- 169)- 209)-', 'price': '₹2239'}, {'item': 'Andoori Sandwich Peri Peri Cheese Sandwich Magnum Special Sandwich Maxican Salsa Sandwich Maxican Cheese Salsa Sandwich Veg Chilli Garlic Sandwich 99)-', 'price': '₹119'}, {'item': '- 169)- 69). 89)-', 'price': '₹109'}, {'item': '- 139)-', 'price': '₹149'}, {'item': '- 149)-', 'price': '₹149'}, {'item': '- 149)-', 'price': '₹139'}, {'item': '- 169). 209)- 169)-', 'price': '₹189'}, {'item': 'Jalpino )', 'price': '₹259'}, {'item': '- 249)', 'price': '₹249'}, {'item': '119)', 'price': '₹99'}, {'item': 'Sandwich', 'price': '₹249'}, {'item': 'Magnum Special Combo', 'price': '₹179'}, {'item': 'Drink', 'price': '₹249'}, {'item': 'Ries )', 'price': '₹159'}, {'item': '1 Sandwich (4 Slice ) )', 'price': '₹289'}, {'item': '- Cool Blue', 'price': '₹119'}, {'item': '109)- Blood Orange', 'price': '₹109'}, {'item': 'Ginger 119)- Green Apple 119)- Sangria Mix', 'price': '₹119'}, {'item': 'Drink', 'price': '₹50'}, {'item': '- Masala Coldrink', 'price': '₹60'}, {'item': '- Jeera Soda', 'price': '₹50'}, {'item': '- Americano', 'price': '₹59'}, {'item': 'E 109)- Cappuccino', 'price': '₹99'}, {'item': '- Mocha', 'price': '₹109'}]","Chinese, Continental",₹600 for two,4.6 • 173 in Google •,"CLOSED, OPENS AT 11AM","Reservation available, SwiggyPay accepted"
Masala Grill,"Hotel Dng Grand, 3Rd Floor, 117/Q/173, Sharda Nagar Road, Swaroop Nagar Near Training Institute North Kanpur 208025",,"[{'item': 'Eo', 'price': '₹6990'}, {'item': 'Special 450 450 255 225 205 205 205 205 195 475 125 475 150 150 125 125', 'price': '₹95'}, {'item': 'Sandwich Eg Snc Hes Soni', 'price': '₹69'}, {'item': 'Oacmesaa 495 415 325 295 325 295 295 275', 'price': '₹195'}, {'item': 'Special 195 195 155 155 145 635 415 415 415 435 395 415 395 395 395', 'price': '₹395'}, {'item': 'Ried Rice 385 345 385 385 385 385 385 365 365 365 365 365 425 425 425 425 425 425 425 425 425 425', 'price': '₹425'}, {'item': 'Arian Paneer', 'price': '₹65'}, {'item': 'Een Epee Wi', 'price': '₹32'}, {'item': 'Special 415 415 415 415 385 385 415 415 385 385 395 385', 'price': '₹385'}, {'item': 'I (2 Pcs.) 475 435 355 375 325 195 195 75 75 75 95 75 65 65 65 45 35', 'price': '₹45'}, {'item': 'Quesadillas 495 425 445 435 455 455 415 425 455 635 635 545', 'price': '₹545'}, {'item': 'Ikka Masala', 'price': '₹425'}, {'item': 'Paneer Aap Ki Pasand', 'price': '₹435'}, {'item': 'A Area Paneer Saagwala 4', 'price': '₹415'}, {'item': 'A Ip', 'price': '₹415'}, {'item': 'Khumb Hara Dhaniya', 'price': '₹385'}, {'item': 'Punjabi)', 'price': '₹385'}, {'item': 'E Ad Snared Nary Pindi Chana', 'price': '₹375'}, {'item': 'Able', 'price': '₹375'}, {'item': 'Rezi', 'price': '₹375'}, {'item': 'As I Maa Corn Palak Ki Bhaji', 'price': '₹385'}, {'item': 'Able', 'price': '₹375'}, {'item': 'Aloo', 'price': '₹345'}, {'item': 'E & Dal Makhani', 'price': '₹365'}, {'item': 'Adka', 'price': '₹345'}, {'item': 'Ch Od Mee Emecesrn One Dal Panchmel', 'price': '₹345'}, {'item': 'Special 585 585 585 525 525 525 225 255 255 255 255 195 215 475 185', 'price': '₹195'}, {'item': 'H Copped Ve! Eae Sya Oa Ey', 'price': '₹020'}, {'item': 'Special 395 2751375 275 215 215 195 165 165 175 1751215 1751215', 'price': '₹185'}, {'item': '215', 'price': '₹185'}, {'item': '215 1751215', 'price': '₹1751'}, {'item': 'H Ena', 'price': '₹00'}, {'item': 'Ed Apy Cokes Essed In Goo Sce Chicken', 'price': '₹65'}, {'item': 'Special 975 635 635 875 455 455 495 485', 'price': '₹475'}, {'item': '475', 'price': '₹465'}, {'item': 'Er 135 Energy Drink 315 Cappuccino', 'price': '₹175'}, {'item': 'E 175 Oreo Milkshake', 'price': '₹165'}, {'item': 'H Ice Cream 165 Vanilla Milkshake', 'price': '₹165'}, {'item': 'E Milkshake', 'price': '₹165'}, {'item': 'Ch Milkshake', 'price': '₹165'}, {'item': 'Rawberry Milkshake 165 Lassi', 'price': '₹165'}, {'item': 'Er Milk', 'price': '₹155'}, {'item': 'Ee 165 Canned Juice', 'price': '₹135'}, {'item': 'Ed Drink 115 Soda', 'price': '₹95'}, {'item': 'Andoori Masala Jhinga', 'price': '₹975'}, {'item': 'Ikka', 'price': '₹635'}, {'item': 'Ikka Ip', 'price': '₹635'}, {'item': 'On Seekh Kabab 4', 'price': '₹545'}, {'item': 'On Shami Kabab', 'price': '₹525'}, {'item': 'On Chaap', 'price': '₹525'}, {'item': 'I Kabab', 'price': '₹545'}, {'item': 'Ull 4751', 'price': '₹695'}, {'item': 'Ikka', 'price': '₹475'}, {'item': 'Angdi Kabab', 'price': '₹475'}, {'item': 'Ikka 4P', 'price': '₹475'}, {'item': 'Special 950 585 585 475 475 495 495 495 635', 'price': '₹635'}, {'item': 'Special 950 635 585 585 595 585 585 495 495 495 495 495 495 365 365 365', 'price': '₹365'}, {'item': 'O Your Choice', 'price': '₹415'}, {'item': 'Able', 'price': '₹385'}, {'item': 'Garlic Sauce', 'price': '₹415'}, {'item': 'Massamancurry', 'price': '₹415'}, {'item': 'Yle 4P', 'price': '₹385'}, {'item': 'Able Black Pepper Sauce', 'price': '₹385'}, {'item': 'Yle', 'price': '₹425'}, {'item': 'Ables 4', 'price': '₹385'}, {'item': '1 Corn Mushroom', 'price': '₹395'}, {'item': 'Able Manchurian Gravy 4', 'price': '₹395'}, {'item': 'Arian Paneer Chilli Sizzler', 'price': '₹525'}, {'item': 'Able Manchurian Sizzler', 'price': '₹475'}]","Chinese, North Indian",₹1400 for two,3.9 • 50 in Google •,"CLOSED, OPENS AT 12PM","Reservation available, Parking available, Valet parking, Free wifi, SwiggyPay accepted"
Mehfil E Swaad,"121, 625, Industrial Estate, Shastri Nagar Near Leo International Central Kanpur 208005",,"[{'item': 'Ghobhi Manchurian 289 279 249 249 340 249', 'price': '₹299'}, {'item': 'Ikka', 'price': '₹250'}, {'item': 'Ikka', 'price': '₹220'}, {'item': 'Ikka', 'price': '₹220'}, {'item': 'Ikka', 'price': '₹260'}, {'item': 'Ikka', 'price': '₹260'}, {'item': 'Ikka', 'price': '₹260'}, {'item': 'Saslik I', 'price': '₹300'}, {'item': 'H Bone) 249', 'price': '₹400'}, {'item': 'H Bone) 299', 'price': '₹499'}, {'item': 'H Bone)', 'price': '₹229'}, {'item': 'H Bone)', 'price': '₹499'}, {'item': 'Ikka (8Pcs.) Paneer Do Pyaza', 'price': '₹330'}, {'item': 'Ikka (8Pcs.)', 'price': '₹349'}, {'item': 'Hai Paneer 245 Chicken Banjara (8Pcs.)', 'price': '₹300'}, {'item': 'Ikka (8Pcs.) R S Anee', 'price': '₹250'}, {'item': 'Ikka (8Pcs.) Ae', 'price': '₹200'}, {'item': 'Ish I Do 230 A. 249 Ao0', 'price': '₹249'}, {'item': 'Adka', 'price': '₹150'}, {'item': 'Er Chicken 299 Chicken Lababdar 350 Chicken Do Pyaza 279 Kadhai Chicken 299 Handi Chicken 249 Chicken Curry 229 Chicken Masala', 'price': '₹249'}, {'item': 'H Bone)', 'price': '₹299'}, {'item': 'H Bone)', 'price': '₹249'}, {'item': 'H Bone)', 'price': '₹249'}]","Chinese, North Indian",₹750 for two,4.2 • 79 in Google •,"CLOSED, OPENS AT 2PM","Reservation available, Parking available, Free wifi, SwiggyPay accepted"
Mithaiwala's,"Gooba Garden Road, Kalyanpur Near Dwivedi Hospital, West Kanpur 208017",,"[{'item': 'Ay O O Samosa Ond', 'price': '₹10'}, {'item': 'Ries 7', 'price': '₹99'}, {'item': 'A Ae 2 Spring Roll', 'price': '₹120'}, {'item': 'Empura', 'price': '₹149'}, {'item': 'Hai Pe. Mashroom Dry', 'price': '₹159'}, {'item': 'Ura', 'price': '₹150'}, {'item': 'Ura 150 C Oya Chap', 'price': '₹169'}, {'item': '200Kg. Chilli Paneer 169 Kesariya Jalebi 300 Kg. Chilli Mashroom 169 Chilli Babycorn )', 'price': '₹169'}, {'item': 'Chilli Paneer Shezwan E', 'price': '₹179'}, {'item': 'Ae 3 Gy Cheese Cigar Roll 5 Dahi Wada', 'price': '₹60'}, {'item': 'Ri Oy Oe Oa Is Chilli Garlic Rice', 'price': '₹149'}, {'item': 'Ried Rice', 'price': '₹159'}, {'item': '& Noodles Je Ws 80 Veg Noodles', 'price': '₹120'}, {'item': 'Ee . 2 Peri Peri Noodles', 'price': '₹149'}, {'item': 'Inodl', 'price': '₹159'}, {'item': 'Il 159 - Shape -. Burger 159 Noodles 159 Paneer Noodles', 'price': '₹179'}, {'item': 'Ee Yi Ce . Meer. Lesion Sede', 'price': '₹79'}, {'item': 'N Sour J 139 Manchow', 'price': '₹139'}, {'item': 'O 139 Lemon Coriander', 'price': '₹139'}, {'item': 'Alumein Soup Ad Oe Picking Soup', 'price': '₹139'}, {'item': 'Om Yum Soup 149 Veg Momos', 'price': '₹99'}, {'item': 'Ry Momos (Veg) 139 Crispy Paneer Momos ( Veg) 139 Paneer Momos', 'price': '₹149'}, {'item': 'Ry Momos Paneer 4', 'price': '₹179'}, {'item': 'A Penne', 'price': '₹150'}, {'item': 'A Paneer Pizza Corn Pizza', 'price': '₹159'}, {'item': 'Resh Pizza', 'price': '₹179'}, {'item': 'Emaki Asparagur Sus', 'price': '₹449'}, {'item': 'Sushi', 'price': '₹499'}, {'item': '80 90 Idli Sambhar Paneer Soda Dosa Mix Veg 100 Sambhar Vada 100 Chana Dal Vada', 'price': '₹100'}, {'item': 'Pam', 'price': '₹100'}, {'item': 'Pam A. 120 Classic Veg Idli Qo 120 Meisoor Masala Dosa 120 Cheese Idli 140 Cheese Dosa', 'price': '₹150'}]",Fast Food,₹400 for two,4.5 • 2 in Google •,"CLOSED, OPENS AT 11AM","Reservation available, SwiggyPay accepted, Pure veg"
Miyabi,"Gurdev Palace, 181-184, GT Road, Lakhanpur, Sharda Nagar North Kanpur 208024",,[],North Indian,₹1000 for two,3.8 • 12K+ in Google •,"CLOSED, OPENS AT 9AM","Reservation available, SwiggyPay accepted"
Molecule Air Bar and Kitchen,"5th Floor, Molecule Kanpur, Virendra Smriti Complex, Mall Road, Civil Lines, Kanpur, Uttar Pradesh, Mall Road, Kanpur",919919443555.0,,"North Indian, Chinese, Continental","₹2,200 for two","4.4, -",12noon – 1am (Today),"Full Bar Available, Indoor Seating"
Moody Cup Cafe & Restro,"115/523,New Basti Maswanpur Nagar Nigam Food Safety Zone-23 Kanpur Nagar",,"[{'item': 'Ried Rice Noodles Chilly Garlic Noodles Paneer Noodles Schezwon Noodles Dry Chilly Paneer Gravy Chilly Paneer Dry Manchurian Gravy Manchurian', 'price': '₹109'}, {'item': 'Pizza Special Pizza', 'price': '₹49'}]","Chinese, Fast Food",₹400 for two,4.2 • 48 in Google •,"CLOSED, OPENS AT 10AM","Reservation available, SwiggyPay accepted"
Offline Cafe,"10/503, Khalasi Line, Tilak Nagar, Kanpur",917617071717.0,,,₹450 for two,"4.0, 3.8",24 Hours (Today),"Home Delivery, Takeaway Available, Indoor Seating, Street Parking, Table booking recommended, Live Music"
Offline Cafe,"10/503, Khalasi Line, Tilak Nagar, Kanpur, Khalasi Line Nu York Home Decor North Kanpur 208002",,"[{'item': 'Yle Shawarma Rolls', 'price': '₹225'}, {'item': 'Eak', 'price': '₹325'}, {'item': 'Baked Spinach Corn 325 Lasagna Roll Up', 'price': '₹295'}, {'item': '345 Chinjabi Momo Burger', 'price': '₹195'}, {'item': 'El Burger', 'price': '₹225'}, {'item': 'Burger', 'price': '₹265'}, {'item': 'Ic Garlic Bread', 'price': '₹225'}, {'item': 'Supreme Garlic Bread', 'price': '₹245'}, {'item': 'Ish', 'price': '₹345'}, {'item': 'Alian Panino 245 Cajun Spiced Grilled Paneer 275 Mexican Garlic Bread', 'price': '₹225'}, {'item': ""'Scials Chicken Peproni Pizza"", 'price': '₹295'}, {'item': 'Ish 325', 'price': '₹345'}, {'item': 'He Day', 'price': '₹175'}, {'item': 'E 145 Boiled Eggs Your Way 145 Chickpea Salad 195 Caeser Salad 195 Macaroni Salad 195 Greek Salad', 'price': '₹225'}, {'item': 'Ables', 'price': '₹275'}, {'item': 'Ish', 'price': '₹295'}, {'item': 'H Khus Khus', 'price': '₹295'}, {'item': 'Munchies ! Kucchi Dabeli', 'price': '₹145'}, {'item': '-So-Vada Pav', 'price': '₹165'}, {'item': '175 Peri Peri Cheese Garlic Bread', 'price': '₹175'}, {'item': 'Garlic Bread 225 Kurkure Bhel 195 Chinese Bhel 195 Cheese Balls 2.0 245 Chinjabi Chilly Paneer', 'price': '₹265'}, {'item': 'Ica', 'price': '₹245'}, {'item': '295 Baked Cheese Nachos', 'price': '₹245'}, {'item': 'Er Chicken Pav Bhaji', 'price': '₹295'}, {'item': '275 Peri Peri Chicken Pop Corn', 'price': '₹265'}, {'item': 'Ried Chicken', 'price': '₹295'}, {'item': 'Scs Gulshan E Iran Keema Pav', 'price': '₹325'}, {'item': 'Ish And Chips', 'price': '₹325'}, {'item': 'Rankie', 'price': '₹225'}, {'item': 'Rankie', 'price': '₹265'}, {'item': 'Rankie', 'price': '₹285'}, {'item': 'A Ji Burger', 'price': '₹175'}, {'item': 'Y Mc Cliche 215 Roomali Wrapped Burger', 'price': '₹215'}, {'item': 'Ex-Mex', 'price': '₹245'}, {'item': 'Ex Mex Dressing Peri Peri Paneer Crunch', 'price': '₹265'}, {'item': 'Akka Boss Burger (Xxl)', 'price': '₹285'}, {'item': 'Reme', 'price': '₹195'}, {'item': ""Resh Veggies And Creamy Egg Salad Nandu'S Peri Peri Chicken"", 'price': '₹275'}, {'item': 'Ard Chicken Sandwich', 'price': '₹275'}, {'item': 'O Sauce Sandwich', 'price': '₹295'}, {'item': 'Ikka Bang Bang', 'price': '₹295'}, {'item': 'On Seekh', 'price': '₹325'}]","Continental, Italian",₹1000 for two,4 • 1K+ in Google •,OPEN TILL 5AM,"Reservation available, Parking available, Free wifi, SwiggyPay accepted"
Omnia By Bang Bang,"117/Q/173 Abc, Gurudev Chauraha, Gurudev Palace, Khyora Near Dng The Grand Hotel, Banquet Hall (Weddingz.In Partner) West Kanpur 208024",,"[{'item': 'I Ka Murg', 'price': '₹595'}, {'item': 'On Lahori Biryani', 'price': '₹545'}, {'item': 'H Vanilla Ice-Cream', 'price': '₹325'}, {'item': 'E Dom', 'price': '₹325'}, {'item': 'Ed Ice-Creams', 'price': '₹325'}, {'item': 'A Hummus', 'price': '₹325'}, {'item': 'H Salsa & Saur Creem', 'price': '₹475'}, {'item': 'H Cheese Dip', 'price': '₹445'}, {'item': 'Oundu', 'price': '₹445'}, {'item': 'Ryes', 'price': '₹325'}, {'item': 'Inger', 'price': '₹595'}, {'item': 'Acos', 'price': '₹445'}, {'item': 'Inger', 'price': '₹675'}, {'item': 'Non-Veg', 'price': '₹445'}, {'item': 'Non-Veg', 'price': '₹545'}, {'item': 'Andoori Onion Soya Chaap Masala', 'price': '₹425'}, {'item': 'Shaslik Panner', 'price': '₹495'}, {'item': 'Ers', 'price': '₹895'}, {'item': 'O & Basil', 'price': '₹445'}, {'item': 'U (Veg)', 'price': '₹445'}, {'item': 'Non-Veg)', 'price': '₹445'}, {'item': 'Empura Roll', 'price': '₹395'}]","Chinese, North Indian",₹1400 for two,4.1 • 359 in Google •,"CLOSED, OPENS AT 11AM","Reservation available, Parking available, Valet parking, Free wifi, SwiggyPay accepted"
