Restaurant Name,Location,Cuisine,Price,"Ratings(Dining, Delivery)",Operating Hours,Menu,More Info
PC Delicacy,"Shop No 120/868 B, Ranjit Nagar, Shastri Nagar Near Concept Clothing Central Kanpur 208005","Chinese, North Indian",₹500 for two,-- • too few ratings •,"CLOSED, OPENS AT 11AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1709552047/faa0001d9025ce8a05d19e4840536256.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1709552051/dbd57ed7c1b54bc81b2331d67d2f98ec.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1709552056/3cbed29c8ee2bd0b087770049a79609a.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1709552060/d228b4b1553bfcf1ee1d59b69b9013be.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1709552047/faa0001d9025ce8a05d19e4840536256.jpg","Reservation available, Free wifi, SwiggyPay accepted"
Punjabi Chaap Corner,"120/917, Lajpat Nagar, Narainpurwa, Kanpur, Uttar Pradesh",North Indian,₹800 for two,4.1 • 1K+ in Google •,"CLOSED, OPENS AT 11AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/1/23/d6700c80-e068-4f62-bf67-9890be3a7012_image24b86f3de2b5c422ba6331315dbc68108.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/1/23/4dd86e78-421e-438c-b62a-40fbcc09c459_image46ba86c48168f4d4086748808f7952f37.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/1/23/61c0e711-346b-44b3-9454-1a202b3596f7_image70b69eaee768c4a37892f95eea7e93b11.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/1/23/e9a51167-98dd-4525-978f-dadd8778a5ce_image10938e3438edbc44daaf82bb58d14bb8ee.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/1/23/c01f65ee-e5b5-4861-b16f-465c2135cb27_image140940fa4cc61947729f93276e5b17da6f.JPG","Reservation available, Parking available, SwiggyPay accepted, Pure veg"
Tamarind By Pristine,"111/18A, Harsh Nagar, Gt Road, Ashok Nagar Central Kanpur 208002",North Indian,₹2000 for two,3.8 • 39 in Google •,"CLOSED, OPENS AT 7AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/1/99416e3f-3951-400b-9076-72d4a007c692_20240701T093022633.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/1/fa861bf4-2786-40fa-b433-3eeb32014a0f_20240701T093023017.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/1/f5cabec2-b991-421b-ac20-1d0074bcdda0_20240701T093023401.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/1/7957e647-64ba-4fae-818b-6ed03b12c1a3_20240701T093023742.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/1/8674d53b-3a9d-46c1-95fb-91141f7e256c_20240701T093024134.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/1/c9db9a2d-71b1-44b0-9b28-dbccae34ad2f_20240701T093024526.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/1/ad31e282-883e-40df-80af-544007931424_20240701T093024828.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/1/7ff3483a-8c26-425d-8204-f7afded9bd5d_20240701T093025209.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/1/ca23a79d-d62d-43dd-b613-fc71680c35de_20240701T093025636.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/1/76172581-9c82-4900-b6e7-60de4b93818d_20240701T093025958.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/1/e977c463-3e45-4335-a9f0-9b90dd4b9e5d_20240701T093026285.jpg","Reservation available, Parking available, SwiggyPay accepted"
The Cake Room,"Plot No.122/528, Sindhi Colony, Shastri Nagar, Kanpur, Uttar Pradesh",North Indian,₹800 for two,-- • too few ratings •,"CLOSED, OPENS AT 11AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/12/1/3756f2d1-0e72-4c20-af25-0e401d34138e_image9ec774da892af431daef0a6ee0a5c6f8e.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/12/1/e2de9c79-c525-46e7-8539-7e924f5481f6_image486926365b55b4ef98fc01df839c813aa.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/12/1/e7642fc2-16fc-4aa7-8880-32d14a617e43_image13ab9a46c6336541ec83f6a4b22eeb7753.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/12/1/8281d5f2-2c78-45d0-9cdb-71416853581e_image125e441def430b4bdba08a7a3fd0d0f2e2.JPG","Parking available, Free wifi, SwiggyPay accepted"
Mehfil E Swaad,"121, 625, Industrial Estate, Shastri Nagar Near Leo International Central Kanpur 208005","Chinese, North Indian",₹750 for two,4.2 • 79 in Google •,"CLOSED, OPENS AT 2PM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710229022/54fc354309f0be43fe9ad8d7f3e778ef.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710229027/8b2f0f66d719ec4f21f66090f83e9fa9.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710229032/2775504c7b682b0b4c0aeadc9e925ebc.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710229036/b45a718f794c01539b19293499794f92.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710229041/3df8897ddbe2ad394bf25bd2b01520a1.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710229047/0108f7b2904f669765af6d4135f9b810.jpg","Reservation available, Parking available, Free wifi, SwiggyPay accepted"
High Storey,"The Pristine Hotel, GT Road, Harsh Nagar, Kanpur, Uttar Pradesh",Continental,₹1000 for two,-- • too few ratings •,"CLOSED, OPENS AT 4PM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/1fecc70e-2aef-49a3-af53-7b197251cc3f_FOODMENU28a9ae23d070f44acb588265428a11527.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/9e26b4b9-5012-4e82-b726-313bbd1c3b29_FOODMENU1011fe78f034624bd694e00baca2bbc804.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/cdc29e9d-ce4c-4685-afbd-934d803853a9_FOODMENU9e11df9460b0c473395a8bc5a912c6aae.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/49a1b578-021d-46e9-8ac6-98ddbfd54400_FOODMENU3f402ef4439144f70ba5c8ac562c5d61d.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/8ff92d3f-3f86-49e8-bdf1-a2f9332a99ae_FOODMENU6ac217913e338471a976ab576d9f84e0c.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/f5130d53-d74c-4299-befb-f164c7032e4d_FOODMENU75c06cdee08c64ce8b0ce030096121c50.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/fa96b159-3ab1-43cb-bf91-34d7356de8c1_FOODMENU81d1514664fc14a5582a6c1df244001c7.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/dfba2f35-630c-4c67-b2b1-fed2fa33d210_FOODMENU56d2534040fdf40d58ea73103cb914a20.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/a445478a-1e82-4be3-987a-2781f72cf136_FOODMENU4378dfdfdd8cb491598ad836032fe2a8b.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/ec93ad76-61db-43ab-a5ae-3ba0eadf6fe3_BARMENU1c63cffa5b707497abbb85f1397777e88.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/7110c0eb-aa1d-4e38-99b8-d3f393d0e324_BARMENU3a16cc694d19d40c9be28777f6884b09d.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/f75ac9f8-005d-4a96-aa11-1c7b788d1bd1_BARMENU5751c37be116d4cec8cca572fff6101de.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/fc91b6b9-52e0-48f2-9ac2-fbc67c571891_BARMENU458108e774e434db49ee2e0bea28eee11.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/fd9956e2-90b9-4982-ae61-d8a9ae2a349d_BARMENU62f95bdb638214265837651ff1e54bcde.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/70cd724f-5e20-41dd-b1c9-34b43f5cb472_BARMENU73614ea6b92674467b0bca6ace9d6454f.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/00efe745-d309-4c0c-9844-88dea92dd5bc_BARMENU113f16d563e27c4035969dfc26987beab5.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/ff7fea56-dda2-46d1-a349-2cc48c7ac4c4_BARMENU10e2212b8f6f344ac4a45c74552e578ddb.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/65ad01f6-461e-4d06-ab4d-6b00f832613d_BARMENU8620e55aeec9048a79c016dbdcaa1af6d.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/c535fd2b-90ca-4512-88e6-f99db1d90a6d_BARMENU14e27f1c0686d64ff49fcd0f3cdc6ee02a.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/4fdb1c8c-7ee8-4ef3-a5df-929ccb04449d_BARMENU13350f17dad775449180a0cfd9ffe44341.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/2cf9405e-ff67-47c8-ad90-a050830fde9b_BARMENU1273c97e2e7e75477885c0c56ced4de732.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/4/10/d4606a02-eb98-41f7-816c-58cefebdd4c2_BARMENU9179b306d84924190b7a08b4e00966c64.JPG","Alcohol served, SwiggyPay accepted"
Aviary Cocktail Nest,"122/732/733, Shastri Nagar Near Aman Telecom Central Kanpur 208005","Italian, North Indian",₹1500 for two,4.5 • 746 in Google •,"CLOSED, OPENS AT 12PM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670462/69f49ae1bbe6e9155043701d0e29b94c.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670472/17edb26066d71647ac69a54676db5578.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670484/13e0bf62ed7ac24fb99b25633b5faa2d.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670507/93073104bc3819389e45d1e4eece92e9.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670507/6d206d2e4bc66dfca7688d86af2f937c.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670506/89c2aacdb3f63011910627375f75794e.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670507/806f395021c8de7f734e78aad14e11b8.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670507/dea94547c7d6a8730fb2677824676bc3.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670525/183324e29f99098cdaca850551477f79.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670536/9a9a7ecf724d2559a4a938bfce67de00.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670546/93367b571dde9d2eb985d1e2f09153ef.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670559/ca0e166fdec762885733d7a3d20d7800.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670792/15fca537b7e80b9b4d0c26d1a7124a55.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670793/2a93a47f3cbea1930dcec3014eebe665.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670793/387e1e71dedbaa66e72eeb12b614a35d.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670794/247302aab110b767905b4e549bc73295.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670794/0e99244f71321d0d6f04b744c96da57e.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670795/220055dea583f1eba23c0217d1088332.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670795/6e58f7f32c2671c8676390c503dddc40.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670795/a749e7e7dc1af9733c8a76b0b1be1412.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670795/9f126f38d913ec0b798b4511e96b3fd6.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/v1710670795/fb646e2e7cb503abe25c98a28ecb2747.jpg","Reservation available, SwiggyPay accepted"
Glasshouse Cafe N Lounge,"PREMISES NO. 7/150-A-2, THIRD FLOOR, SWAROOP NAGAR, NAGAR NIGAM FOOD SAFETY ZONE-16, Kanpur Nagar, Uttar Pradesh-208001","Continental, Italian",₹800 for two,3.8 • 332 in Google •,"CLOSED, OPENS AT 2PM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/5/7/1fe1bb89-3d28-4b57-b476-882143d06c70_20240507T110035050.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/5/7/84aa9ff5-d5b7-46c9-b877-548af27e1897_20240507T110035393.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/5/7/dd2b0f5d-676b-453d-91fe-e5f1c2f1f185_20240507T110035747.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/5/7/53d8f0da-02c8-40b7-9694-7595e4e0621a_20240507T110036075.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/5/7/bae76160-c55b-4a2d-97d5-296fb64ba8ed_20240507T110036455.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/5/7/f91dab95-e0b0-4407-89d6-de2bedc73a71_20240507T110036808.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/5/7/2c3920ac-fccd-4d19-ae8a-40cf6498e50f_20240507T110037142.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/5/7/c16f4b31-f9aa-4bd7-a8d4-94680f5bcbd0_20240507T110037449.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/5/7/0cc30c44-64e3-4f13-a4aa-717d947a3592_20240507T110037767.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/5/7/892dbcf8-3601-458e-a9d2-63a245865d6b_20240507T110038097.jpg","Reservation available, Parking available, Free wifi, Smoking area, SwiggyPay accepted"
Yappy Cafe,"Moti Jheel, Opposite Passport Seva Kendra, Navin Nagar East Kanpur 208002",North Indian,₹700 for two,4.2 • 112 in Google •,"CLOSED, OPENS AT 12PM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/22/4abfedbd-d6d4-4ec1-9f31-53216321701b_20240722T083104154.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/22/0dcf4f19-60a9-4cfb-be4e-9ef95a458ff7_20240722T083104505.jpg, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2024/7/22/d0855a6f-9f19-40e4-b389-3e4235e86fd4_20240722T083104859.jpg","Reservation available, Parking available, Pet friendly, SwiggyPay accepted"
7th Heaven Cake And Cafe,"Plot No.120/70/A, Ground Floor, First Street, Laxmi Ratan Colony, Lajpat Nagar, Narainpurwa, Kanpur, Uttar Pradesh",Italian,₹1000 for two,4.1 • 52 in Google •,"CLOSED, OPENS AT 11:55AM","https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/9/2ff2d520-f6f8-4fe3-b4f3-8ed41e2df000_image309a292fd7cf444efac7a6c69ad950b1c.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/9/ac17cb35-e2a6-4ba2-af05-935837d7d003_image10eeb94fa57542431ca9bf3d91d60af21e.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/9/7a8e4f70-936c-4d85-9f33-2210e602922f_image1366120dc429104b65938f1020cf442fef.JPG, https://dineout-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/DINEOUT_ALL_RESTAURANTS/IMAGES/RESTAURANT_IMAGE_SERVICE/2025/3/9/e621a627-c532-4459-a56d-d06e9cdec07a_image209fb0b19134694dd1ad763c6da26ed6ab.JPG","Reservation available, Parking available, Free wifi, SwiggyPay accepted"
